epoch,accuracy,loss,val_accuracy,val_loss
0,0.9245667,0.20096927840740053,0.974711000919342,0.09160179644823074
1,0.9960609,0.01315690069620795,0.9778269529342651,0.062381427735090256
2,0.9980961,0.007012731305293215,0.9132044911384583,0.6063194274902344
3,0.99927783,0.002277653132471894,0.967711329460144,0.047692153602838516
4,0.99862134,0.004710885599446816,0.9818460941314697,0.014742136001586914
5,0.9996061,0.0013295308084890786,0.9859104156494141,0.006139421835541725
6,0.9979648,0.006655603964989633,0.9472543597221375,0.7762904167175293
7,0.9972426,0.010559791333083417,0.9864974617958069,0.05777495726943016
8,0.9982274,0.004675442753236779,0.848943293094635,0.8313605785369873
9,0.9991465,0.0031421115896179087,0.9705111980438232,0.1930578649044037
10,0.9992122,0.0020116554244797203,0.980220377445221,0.10642150044441223
11,0.99927783,0.002832227476635332,0.9864071607589722,0.026208458468317986
12,0.9998687,0.0005082843470311772,0.9794978499412537,0.00023616345424670726
13,1.0,5.4773576675488434e-05,0.9810783863067627,0.18549692630767822
14,0.99671745,0.011531877026531403,0.9408417344093323,0.42864084243774414
15,0.9988183,0.0032706829185349113,0.9865877628326416,0.07268981635570526
16,0.99980307,0.0008818731689146973,0.9808074235916138,0.004699572455137968
17,0.99980307,0.000773046301494579,0.9733110666275024,0.016375338658690453
18,0.9997374,0.0010395833804760063,0.9839234352111816,0.0024782782420516014
19,0.9991465,0.002655189883041333,0.9574151039123535,0.09214040637016296
20,0.99868697,0.0034249569623061916,0.9847814440727234,0.030677475035190582
21,0.99980307,0.001130590914463104,0.9841492176055908,0.14081324636936188
22,0.9981618,0.006290565265384002,0.8831285834312439,0.48168981075286865
23,0.9979648,0.006995321609494812,0.9504154920578003,0.1626976877450943
24,1.0,0.00019942534017059762,0.9832008481025696,0.2115361988544464
25,0.99927783,0.0022038563782135656,0.973175585269928,0.1329798847436905
26,0.9979648,0.0073722977803464046,0.9590408205986023,0.22388955950737
27,0.99927783,0.002062699926343249,0.9728594422340393,0.3977786600589752
28,0.99980307,0.0013469996794004551,0.9874909520149231,0.003775226417928934
29,0.9952731,0.014845717837241857,0.816654622554779,0.5688657760620117
30,0.9963892,0.010570392881645067,0.9901553392410278,0.11304643005132675
31,0.9988183,0.0032506360871899357,0.9822073578834534,0.015440159477293491
32,0.99842435,0.004474631743072346,0.9809429049491882,0.3150879740715027
33,0.9996061,0.001698201592007115,0.9727691411972046,0.10901682823896408
34,0.9998687,0.0005362486652112686,0.98961341381073,0.0008984999731183052
35,0.9996061,0.001651074089451754,0.9885748028755188,0.05175989493727684
36,0.9999344,0.0002877617839687002,0.9880780577659607,0.001104817958548665
37,1.0,0.00011572352830713601,0.9842846989631653,0.002990804146975279
38,1.0,2.0827780618717764e-05,0.982568621635437,0.001566230203025043
