epoch,accuracy,loss,val_accuracy,val_loss
0,0.5283694,0.6933065323190316,0.36836162209510803,0.6772170066833496
1,0.58838165,0.6592979958936489,0.6695718765258789,0.6363992691040039
2,0.68531775,0.610179144909928,0.7406972646713257,0.6306745409965515
3,0.76885474,0.5526868935736864,0.7627348303794861,0.576505184173584
4,0.8292161,0.487611820910896,0.803648829460144,0.4949888586997986
5,0.87661487,0.42205897797752356,0.8600524067878723,0.46221327781677246
6,0.9066864,0.3587480672744399,0.8843027353286743,0.40379899740219116
7,0.9244064,0.30403608878731064,0.9037662744522095,0.34028661251068115
8,0.93867844,0.2550623282457197,0.920068621635437,0.2613218426704407
9,0.95325595,0.20908429323794456,0.9313132166862488,0.35315877199172974
10,0.9599773,0.17695552035749956,0.9392160177230835,0.16274897754192352
11,0.96648043,0.1483214335651371,0.9470736980438232,0.24144011735916138
12,0.97267807,0.12702294813687576,0.950505793094635,0.21460095047950745
13,0.97664976,0.11062004956203467,0.9544346332550049,0.14756320416927338
14,0.98049057,0.09571560008149574,0.9550668597221375,0.1982148140668869
